sort,title,releaseYear,aspectRatio,runtime,director,writer,cinematographer,editor,composer,publisher,format,resolution,hdr,discs,steelbook,slipcover,color,animation,mpaa,mpaa_cert,distributor,mpaa_reason_raw,mpaa_reason,alt_title,caseReplacement,action,sciFi,western,crime,noir,period,wuxia,fantasy,mystery,dark,gritty,comedy,heist,horror,martial arts,violent
27,Captain America: The First Avenger,2011,2.39,123,Joe Johnston,"Christopher Markus,Stephen McFeely",Shelly Johnson,"Robert Dalva,Jeffrey Ford",Alan Silvestri,Paramount Pictures,Blu-Ray,1080,,2,,,,,pg-13,46937,Paramount Pictures Corporation,Rated PG-13 for intense sequences of sci-fi violence and action. ,intense sequences of sci-fi violence and action,,,TRUE,TRUE,,,,TRUE,,TRUE,,,,,,,,
28,Casino Royale,2006,2.4,144,Martin Campbell,"Neal Purvis,Robert Wade,Paul Haggis",Phil Méheux,Stuart Baird,David Arnold,Sony Pictures Home Entertainment,Blu-Ray,1080,,2,,TRUE,,,pg-13,42012,Columbia Pictures,"Rated PG-13 for intense sequences of violent action, a scene of torture, sexual content and nudity. ","intense sequences of violent action,a scene of torture,sexual content,nudity",,,TRUE,,,,,,,,,,TRUE,,,,,TRUE
29,Children of Men,2006,1.85,110,Alfonso Cuarón,"Alfonso Cuarón,Timothy J. Sexton,David Arata,Mark Fergus,Hawk Ostby",Emmanuel Lubezki,"Alex Rodriguez,Alfonso Cuarón",John Tavener,Universal Studios,Blu-Ray,1080,,1,,,,,r,42838,Universal Studios,"Rated R for strong violence, language, some drug use and brief nudity. ","strong violence,language,some drug use,brief nudity",,,,TRUE,,,,,,,,TRUE,TRUE,,,,,TRUE
30,Citizen Kane,1941,1.37,119,Orson Welles,"Herman J. Mankiewicz,Orson Welles",Gregg Toland,Robert Wise,Bernard Herrmann,The Criterion Collection,4K_UHD,2160,dolby vision,4,,,FALSE,,pg,31224,Paramount Pictures Corp.,,,,,,,,,,,,,TRUE,,,,,,,
31,Close Encounters of the Third Kind,1977,2.39,135,Steven Spielberg,Steven Spielberg,Vilmos Zsigmond,Michael Kahn,John Williams,Sony Pictures Home Entertainment,4K_UHD,2160,hdr10,2,,,,,pg,25062,Columbia Pictures Industries,,,,,,TRUE,,,,,,,,,,,,,,
32,Colossus: The Forbin Project,1970,2.35,100,Joseph Sargent,James Bridges,Gene Polito,Folmar Blangsted,Michel Colombier,Shout! Factory LLC,Blu-Ray,1080,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,The Conversation,1974,1.85,114,Francis Ford Coppola,Francis Ford Coppola,Bill Butler,Richard Chew,David Shire,Studiocanal Limited,4K_UHD,2160,dolby vision,2,,TRUE,,,pg,23756,Paramount Pictures Corp.,,,,,,,,,,,,,,,,,,,,
34,Crimson Tide,1995,2.4,116,Tony Scott,Michael Schiffer,Dariusz Wolski,Chris Lebenzon,Hans Zimmer,"Buena Vista Home Entertainment, Inc.",Blu-Ray,1080,,1,,,,,r,33747,"Buena Vista Pictures Distribution, Inc.",Rated R for strong language. ,strong language,,,TRUE,,,,,,,,,,TRUE,,,,,
35,"Crouching Tiger, Hidden Dragon",2000,2.39,120,Ang Lee,"Hui-Ling Wang,James Schamus,Kuo Jung Tsai",Peter Pau,Tim Squyres,Tan Dun,Sony Pictures Home Entertainment,4K_UHD,2160,hdr10,2,TRUE,,,,pg-13,37534,Sony Pictures Classics,Rated PG-13 for martial arts violence and some sexuality. ,"martial arts violence,some sexuality",,,TRUE,,,,,TRUE,TRUE,TRUE,,,,,,,TRUE,
36,Dark City,1998,2.35,111,Alex Proyas,"Alex Proyas,Lem Dobbs,David S. Goyer",Dariusz Wolski,Dov Hoenig,Trevor Jones,New Line Cinema,Blu-Ray,1080,,1,,,,,r,34966,New Line Cinema,Rated R for violent images and some sexuality. ,"violent images,some sexuality",,,,TRUE,,,TRUE,,,,TRUE,TRUE,TRUE,,,TRUE,,
