sort,title,releaseYear,aspectRatio,runtime,director,writer,cinematographer,editor,composer,publisher,format,resolution,hdr,discs,steelbook,slipcover,color,animation,mpaa,mpaa_cert,distributor,mpaa_reason_raw,mpaa_reason,alt_title,caseReplacement,action,sciFi,western,crime,noir,period,wuxia,fantasy,mystery,dark,gritty,comedy,heist,horror,martial arts,violent
142,Thief,1981,1.85,124,Michael Mann,Michael Mann,Donald Thorin,Dov Hoenig,Tangerine Dream,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,26144,United Artists,,,Violent Streets,,,,,TRUE,,,,,,TRUE,TRUE,,TRUE,,,TRUE
143,The Thin Red Line,1998,2.35,171,Terrence Malick,Terrence Malick,John Toll,"Billy Weber,Leslie Jones",Hans Zimmer,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,36486,Twentieth Century Fox Film Corp.,Rated R for realistic war violence and language.,"realistic war violence,language",,,,,,,,TRUE,,,,TRUE,,,,,,TRUE
144,The Thing,1982,2.35,109,John Carpenter,Bill Lancaster,Dean Cundey,Todd Ramsay,Ennio Morricone,Universal Studios,Blu-Ray,1080,,1,,,,,r,26699,"Universal City Studios, Inc.",,,,,,,,,,,,,,TRUE,,,,,,TRUE
145,The Tree of Life,2011,1.85,139,Terrence Malick,Terrence Malick,Emmanuel Lubezki,"Hank Corwin,Jaybinowitz,Daniel Rezende,Billy Weber,Mark Yoshikawa",Alexandre Desplat,The Criterion Collection,Blu-Ray,1080,,2,,,,,pg-13,46031,"Fox Searchlight Pictures, Inc.",Rated PG-13 for some thematic material.,some thematic material,Edited for re-rating,,,,,,,,,,,,,,,,,
146,Tropic Thunder,2008,2.39,120,Ben Stiller,"Justin Theroux,Ben Stiller,Etan Cohen",John Toll,Greg Hayden,Theodore Shapiro,DreamWorks LLC,Blu-Ray,1080,,1,,,,,r,44367,DreamWorks/Paramount Distribution,"Rated R for pervasive language including sexual references, violent content and drug material.","pervasive language including sexual references,violent content,drug material",,,,,,,,,,,,,,TRUE,,,,TRUE
147,Twilight of the Warriors: Walled In,2024,2.39,125,Soi Cheang,"Au Kin Yee,Chan Tai Lee,Shum Kwan Sin,Jack Lai Chun",Cheng Siu Keung,Cheung Kai Fai,Kenji Kawai,Well Go USA Entertainment,4K_UHD,2160,hdr10,1,,TRUE,,,r,55079,"Well Go USA, Inc.","Rated R for violence throughout, language and some drug content.","violence throughout,language,some drug content",Subtitled,,,,,TRUE,,,,TRUE,,,,,,,TRUE,TRUE
148,Twin Peaks: The Television Collection,1990,1.33,2532,"David Lynch,Mark Frost,Duwayne Dunham","Mark Frost,David Lynch","Ron Garcia,Peter Deming",Duwayne Dunham,Angelo Badalamenti,Paramount Pictures,Blu-Ray,1080,,16,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,TRUE
149,Twin Peaks: Fire Walk With Me,1992,1.85,134,David Lynch,"David Lynch,Robert Engels",Ron Garcia,Mary Sweeney,Angelo Badalamenti,The Criterion Collection,Blu-Ray,1080,,1,,,,,r,31718,New Line Cinema,"Rated R for strong violence, sex, and drug content, and for language.","strong violence,sex,drug content,language",,,,,,,TRUE,,,,,TRUE,,,,,,TRUE
150,Unbreakable,2000,2.35,102,M. Night Shyamalan,M. Night Shyamalan,Eduardo Serra,Dylan Tichenor,James Newton Howard,"Buena Vista Home Entertainment, Inc.",Blu-Ray,1080,,1,,,,,pg-13,37802,Buena Vista Pictures Distribution,"Rated PG-13 for mature themes, some disturbing violent content and a sexual reference.","mature themes,some disturbing violent content,a sexual reference",,,,,,,,,,,,TRUE,,,,,,TRUE
151,Uncut Gems,2019,2.39,135,"Josh Safdie,Benny Safdie","Ronald Bronstein,Josh Safdie,Benny Safdie",Darius Khondji,"Ronald Bronstein,Benny Safdie",Daniel Lopatin,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,52348,A24,"Rated R for pervasive strong language, violence, some sexual content and brief drug use.","pervasive strong language,violence,some sexual content,brief drug use",,,,,,,TRUE,TRUE,,,,TRUE,TRUE,,,,,TRUE
152,Unforgiven,1992,2.39,132,Clint Eastwood,David Webb Peoples,Jack N. Green,Joel Cox,Lennie Niehaus,Warner Bros. Entertainment Inc,4K_UHD,2160,hdr10,2,,,,,r,31757,Warner Bros. Inc.,"Rated R for language, and violence, and for a scene of sexuality.","language,violence,a scene of sexuality","William Munny Killings, The",,,,TRUE,,,TRUE,,,,,TRUE,,,,,TRUE
153,Vertigo,1958,1.85,129,Alfred Hitchcock,"Alec Coppel,Samuel Taylor",Robert Burks,George Tomasini,Bernard Herrmann,Universal Studios,4K_UHD,2160,hdr10,2,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,
154,Videodrome,1983,1.85,89,David Cronenberg,David Cronenberg,Mark Irwin,Ronald Sanders,Howard Shore,The Criterion Collection,4K_UHD,2160,dolby vision,2,,,,,r,26923,"Universal City Studios, Inc.",,,,,,TRUE,,,,,,,,TRUE,TRUE,,,,,TRUE
155,Walk Hard: The Dewey Cox Story,2007,2.4,96,Jake Kasdan,"Judd Apatow,Jake Kasdan",Uta Briesewitz,"Tara Timpone,Steve Welch",Michael Andrews,Sony Pictures Home Entertainment,Blu-Ray,1080,,2,,,,,r,43296,Columbia Pictures,"Rated R for sexual content, graphic nudity, drug use and language.","sexual content,graphic nudity,drug use,language",Walk Hard,,,,,,,TRUE,,,,,,TRUE,,,,
156,War of the Worlds,2005,1.85,116,Steven Spielberg,"Josh Friedman,David Koepp",Janusz Kaminski,Michael Kahn,John Williams,Paramount Pictures,4K_UHD,2160,dolby vision,2,,,,,pg-13,41830,Paramount Pictures Corporation,Rated PG-13 for frightening sequences of sci-fi violence and disturbing images.,"frightening sequences of sci-fi violence,disturbing images",,,,TRUE,,,,,,,,TRUE,,,,,,TRUE
157,Wayne's World,1992,1.85,94,Penelope Spheeris,"Mike Myers,Bonnie Turner,Terry Turner",Theo Van de Sand,Malcolm Campbell,J. Peter Robinson,Paramount Pictures,4K_UHD,2160,dolby vision,1,,TRUE,,,pg-13,31308,Paramount Pictures Corp.,Rated PG-13 for sex related dialogue.,sex related dialogue,,,,,,,,,,,,,,TRUE,,,,
158,Wild at Heart,1990,2.35,124,David Lynch,David Lynch,Frederick Elmes,Duwayne Dunham,Angelo Badalamenti,Shout! Factory LLC,Blu-Ray,1080,,1,,,,,r,30558,Samuel Goldwyn Company,,,,,,,,TRUE,TRUE,,,,,TRUE,,,,,,TRUE
159,Zodiac,2007,2.4,162,David Fincher,James Vanderbilt,Harris Savides,Angus Wall,David Shire,Paramount Pictures,Blu-Ray,1080,,2,,,,,r,42944,Paramount Pictures Corporation,"Rated R for some strong killings, language, drug material and brief sexual images.","some strong killings,language,drug material,brief sexual images",Chronicles; Chronicles Of The Zodiac,,,,,TRUE,TRUE,TRUE,,,TRUE,TRUE,,,,,,TRUE
